parent_skill_title,parent_skill_description
Account Management,"Manage, maintain and grow the sales and relationships with a specific customer or set of accounts. This includes in-depth customer engagement, relationship-building and provision of quality solutions and service to address customers' needs efficiently and generate revenue."
Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements
Accounting and Tax Systems,Implement accounting or tax software systems in the organisation
Analytics and Computational Modelling,"Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks which also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issue or requirement"
Asset and Liability Management,"Address risks faced by financial institutions or banks due to mismatch between assets and liabilities by performing capital, liquidity, interest rate and balance sheet management."
Attribution Analysis,"Analyse portfolio and fund manager performance, identify specific portfolio performance factors, and apply attribution analysis methods"
Audit Compliance,Ensure compliance with corporate policies and guidelines
Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements
Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities
Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised"
Behavioural Finance,"Examine the psychological, social, cognitive and emotional factors in investment"
Benchmarking,Compare organisational performance to other organisations and industries
Big Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence
Block Trading,"Structure block trades, perform due diligence, bid on block trades, and finalise transactions"
Book Building,"Identify price options for shares and other securities based on potential investors' interest levels, as determined by the generation, capture and record of investor demand and supply of subscription rates"
Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry"
Business Continuity,Develop and implement business continuity plans for organisational preparedness of disruptive events.
Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events
Business Environment Analysis,"Determine the viability of entering new markets, and develop adaptation strategies to customise products and services for the markets"
Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements
Business Needs Analysis,"Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions, initiatives and programmes to enable effective delivery. This also involves the development of a compelling and defensible business case and the articulation of the potential impact of the solution to the business"
Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation
Business Opportunities Development,Develop and implement plans to enhance organisation's business performance and growth
Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps"
Business Planning,Design and formulate business plans to achieve business goals
Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency"
Business Process Management,Manage and optimise an organisation's business processes for efficiency and effectiveness
Business Process Re-engineering,"Analyse business processes and workflows within the organisation and identification of new approaches to completely redesign business activities or optimise performance, quality and speed of services or processes including exploration of automating and streamlining processes, evaluation of associated costs and benefits of redesigning business processes, as well as identification of potential impact, change management activities and resources required"
Business Requirements Mapping,Map business requirements to existing processes to identify gaps or opportunities for possible solutions and evaluate impact of solutions against requirements to propose adjustments as needed
Business Risk Assessment,"Articulate, communicate and assess organisational risk appetite frameworks and risk statements across the organisation"
Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options"
Capital Management,"Calculate capital adequacy ratios to determine capital buffers necessary for the bank or financial institution, while optimising returns on capital based on capital allocation strategies"
Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives
Carbon Markets and Decarbonisation Strategies Management,"Lead organisation's strategy and policies in response to current and projected carbon policy, market developments and decarbonisation strategies, and provide support for the organisation and clients in their efforts to decarbonise and become net-zero"
Cash Flow Management,Manage and maintain business units' cash flow by consolidating data and performing analysis on cash inflow and outflow
Cash Flow Reporting,Maintain business units' cash flow reports by consolidating data and performing analysis on cash inflow and outflow
Change Management,Manage changes and developments within teams and organisation
Channel Management,Manage new and existing distribution channels for financial services products and services to ensure channel performance and effectiveness
Claims Management,"Coordinate and carry out timely and accurate adjudication, validation and disbursement of claims proceeds to creditors"
Client Investment Suitability,"Determine client suitability, financing needs, risk management requirements, investment objectives and propose relevant sales opportunities"
Climate Change Management,"Synthesise information on climate change and climate policy developments to shape the organisation's strategies and policies, products and/or services"
Climate Reporting,"Perform data collection and analysis for the preparation of climate-related disclosures and reports on both the impact of an organisation's operations on climate change and the environment, and the impact of climate change on an organisation. Prepare disclosures and reports based on relevant reporting frameworks and standards, providing accurate and transparent climate-related information, as well as guidelines for climate risk mitigation."
Collateral Management,"Reduce risk byÂ reviewing collateral documentation for completeness and validity, performing collateral valuation and margin call calculations and resolving reconciliation breaks"
Compliance Mindset Development,Design and deliver training materials on regulatory compliance topics to spread awareness and encourage adoption of a compliance mindset and behaviours
Conflict Management,Build consensus and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively and maintain the best interests of the organisation
Continuous Improvement Management,"Apply continuous improvement plans to optimise cost, task efficiency and effectiveness of processes and procedures"
Contract and Vendor Management,"Manage relationships with cast, crew, vendors and clients by establishing formal contracts and evaluating performance against established expectations"
Corporate Governance,"Develop corporate governance frameworks, establish and implement operationalisation of policies to maintain compliance to statutory laws and regulatory policies"
Corporate and Business Law,Respond to the changes in business laws and regulations
Cost Management,"Analyse, plan and manage costs for cost efficiency and expense reduction"
Credit Assessment,Perform credit risk assessments of customers and ensure adherence to credit control framework
Credit Risk Management,"Establishing the organisation's financial and credit policies and frameworks to identify, assess and manage the organisation's credit risk exposure"
Crisis Management,Identify crisis response and recovery activities as well as implement the recovery and business continuity strategies to minimise the impact of disruptive events to the organisation
Customer Acceptance Checking and Onboarding,"Assess customer acceptance suitability by conducting Know Your Customer, Anti-Money Laundering, Customer Due Diligence (KYC/AML/CDD) checks and fraud assessments"
Customer Acquisition Management,Develop customer acquisition strategies as well as foster customer relationships to attract new customers
Customer Behaviour Analysis,"Devise customer behaviour analysis tools and approaches, to perform analysis on information pertaining to customer behaviours, leading to improved customer recommendations"
Customer Experience Management,Compile and analyse information gathered through various channels and manage communication across customer touch points to ensure a consistent and pleasant customer experience
Customer Relationship Management,Initiate and drive activities to enhance customer relationships and brand loyalty for the organisation
Cybersecurity,Develop awareness of cyber security threats
Data Collection and Analysis,"Collect, extract and interpret data according to defined requirements to obtain project insights"
Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches"
Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner"
Data-Mining and Modelling,Establish and deploy data modelling techniques to support narrative and predictive analytics efforts and identify trends and patterns for simulation and forecasting purposes
Deal Syndication and Arrangement,"Identify and assess syndication opportunity based on size and risk levels, invite other lenders for syndication and arrange for finalise loan syndication through legal means"
Debt Restructuring,Assess processes to address risk of default on existing debt or evaluate opportunities to take advantage of lower available interest rates through debt restructuring
Demand and Supply Analysis,Analyse and assess market dynamics to uncover demand and supply outlook of products to enable better positioning and identification of opportunities and suitability of offerings
Digital Forensics,Use forensic technologies in the delivery of forensic services
Digital Marketing Management,"Perform digital marketing activities, including Search Engine Optimisation (SEO), Search Engine Marketing (SEM) and affiliate marketing"
Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives
Disruption Management,Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models
Due Professional Care,Apply care and skill expected of a prudent and competent internal auditor
Electronic Trading System Management,Demonstrate good grasp of electronic trading key drivers and perform market analysis activities to establish a seamless system to allow investors and traders to place trades and monitor performance
Emerging Technology Synthesis,"Monitor, gather data and identify emerging technology trends, developments, products, services and techniques for integration and perform cost-benefit analysis and evaluation of their relevance, viability, sustainability and potential value add to the business"
Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion
Engagement Execution,Perform assurance procedures in accordance with the engagement plans
Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures"
Engagement Quality Control,Set up control procedures for an assurance engagement
Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement"
Enterprise Risk Management,Assess the adequacy of risk management process and frameworks
Environment Impact Assessment,"Evaluate and analyse the potential environmental and social consequences of proposed projects, policies, or developments, incorporating regulatory standards, environmental and social science approaches, and stakeholder insights. Inform decision-making by providing information on potential risks, as well as recommendations for minimising ecological and social impacts and promoting sustainable development."
Environment and Social Governance,Understand the latest industry and/or client standards regarding Environment and Social Governance (ESG) and undertake ESG research activities
Ethical Culture,Evaluate and foster strong ethical climate
Ethical Frameworks for Generative AI,"Establish and enforce ethical guidelines and governance structures for Gen AI projects, ensuring all initiatives align with regulatory standards and organizational values"
Ethical and Responsible Generative AI Adoption,"Understand and adhere to ethical guidelines and governance frameworks for the responsible use of Gen AI, ensuring compliance with legal and ethical standards"
Evidence Management,Employ forensic research methodologies to collect and manage data
Family Governance,"Develop family governance framework, establish and implement operationalisation of processes to guide family relationship with the family office"
Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner
Financial Administration,Ensure healthy finance to aid business growth and operations
Financial Analysis,Analyse the financial statements and data to provide insights about the financial performance and position of the organisation over time
Financial Closing,Carry out month-end closing and reconciliation to ensure financial records are maintained properly
Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services
Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion
Financial Planning,Evaluate and develop budget in line with organisation's strategies and plans
Financial Reporting,Prepare general-purpose financial statements and disclosure notes in accordance with applicable financial reporting framework
Financial Reporting Quality,Establish internal control framework for audit purposes
Financial Statements Analysis,Analyse financial statements in accordance with the applicable frameworks
Financial Statements Review,Review financial statements in accordance with applicable frameworks and regulatory requirements
Financial Transactions,Prepare business documentation and cash balances
Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities
Fraud Detection and Prevention,Perform review of internal controls and systems to detect and prevent potential fraud
Fraud Investigation Planning and Execution,Perform review of internal controls and systems to determine if fraudulent activities have occurred
Fraud Risk Management,Evaluate organisation's potential for occurrence of fraud and develop fraud risk awareness throughout the organisation
Fund Accounting,"Manage fund accounting to record, match and settle transactions, establish prices of securities, monitor and process corporate actions, process unit holders' records, prepare net asset valuation report of funds and fund financial reports"
Generative AI Application Development and Deployment in Financial Services,"Design and build applications around Gen AI models, integrating the language processing capabilities towards specific use cases and domains"
Generative AI Data Governance,"Design and implement data strategies, governance frameworks, and architectures to support GenAI applications, ensuring data integrity, security, and usability"
"Generative AI Innovation, Research and Development, and Innovation Management","Lead research and development initiatives to drive innovation in Gen AI, ensuring alignment with business objectives and fostering a culture of continuous improvement"
Generative AI Model Evaluation in Financial Services,"Assess the quality, performance, and potential impact of Gen AI models across various domains and applications"
Generative AI Model Selection in Financial Services,Choose the most appropriate model for the use case the GenAI system being developed from a selection of external models based on published metrics and user experiments
Generative AI Models Technical Aspects of Security and Ethics in Financial Services,Ensure AI models and systems are secure and ethically sound from development through deployment and operation. Implement and maintain trust and safety standards
Generative AI Prompt Engineering,"Create nuanced and strategic prompts that optimise AI model performance, combining different methodologies to generate innovative and effective prompts."
"Generative AI Regulatory, Legal, and Risk Management Compliance","Develop and implement comprehensive strategies to ensure GenAI projects comply with legal, regulatory, and risk management requirements, mitigating potential risks effectively"
Generative AI Strategy,"Analyze business objectives to identify opportunities for integrating GenAI technologies, ensuring that the strategic implementation of GenAI aligns with intended business outcomes and goals"
Generative AI-enabled Transformations,"Lead the execution of GenAI initiatives to ensure technical functionality and alignment with intended business outcomes, managing organizational change and cultural integration effectively"
Governance,Evaluate and improve governance practices in the organisation
Greenhouse Gas Accounting,"Assess, quantify, and verify greenhouse gas emissions produced by an organisation or organisational activities, to support the monitoring and management of an organisation’s carbon footprint. Ensure compliance with environmental standards and regulations, and develop strategies for the reduction of emissions and mitigation of climate change impacts."
Group Accounting and Consolidation,Apply group accounting and consolidation of separate organisations to create a single entity
"Impact Indicators, Measurement and Reporting","Analyse, monitor and report impact of sustainability actions and lead the organisation in setting impact mission and targets for the organisation or customers"
Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy"
Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities
Information Technology Application Support and Monitoring,"Provide Information Technology (IT) application and security support by troubleshooting issues, identifying root causes, performing trend analysis and/or monitoring performance, to ensure issues are resolved."
Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products"
Insurance Claims Handling,Handle assessment and investigation of insurance claims to ensure efficiency and effectiveness of claims functions and reduce risk exposure
Internal Audit Engagement Execution,"Execute and review internal audit engagements, document and communicate findings in accordance with the International Professional Practices Framework"
Internal Audit Engagement Planning,Determine priorities of the internal audit and plan the timing and scope of audit procedures and resources
Internal Audit Function Management,Develop and manage the Internal Audit function
Internal Audit Quality Assurance,Develop the Quality Assurance and Improvement Programme
Internal Controls,Evaluate effectiveness and efficiency of internal controls in the organisation
Legal Drafting and Writing,"Produce legal documents through the identification, application and presentation of relevant facts and laws to communicate specific messages in an organised and logical format"
Litigation Support,Provide evidence and testimonies to be used in litigation
Macroeconomic Analysis,Evaluate impact of external factors on the organisation
Management Decision Making,Make financial decisions based on management reports
Market Liquidity and Counterparty Matching,Determine price sensitivity of bid and offer quotes from market participants to negotiate and match the best available bid quotes with offer quotes between two counterparties using effective negotiation strategies in client conversations
Market Research and Analysis,"Develop market analysis frameworks and objectives to guide and conduct analyses of market trends, developments, competitive factors and economic changes to identify useful business insights, drive economic decisions and forecast market needs"
Market Risk Management,"Identify, monitor, and manage market risks including foreign exchange, interest rates, credit spreads, and liquidity, and implement risk mitigation plans in adherence to financial market risk limits and guidelines."
Market Specialisation,Apply market and industry knowledge to key service offerings as well as understand relevant laws and regulations in relevant markets to be able to customise advice to clients
Mergers and Acquisition,Analyse Mergers and Acquisitions (M&As) strategically to identify and evaluate opportunities for increasing the organisation's valuation
Monitoring and Surveillance,"Develop and conduct checks and observations to assess adherence to statutory regulations and standards, thoroughness of compliance controls and monitor for irregular activities."
Natural Capital Management,"Develop market research on natural capital and lead organisation's strategies and policies in response to natural capital policy and market developments, to support decision making and organisational dealings"
Networking,Identify and establish industry stakeholder relationships at all levels of business operations to further the organisation's strategies and objectives
Non-Financial Industry Sustainability Developments,"Synthesise sustainability-related risks, opportunities and market developments of the non-financial industries, and their impact and application to the organisation and the financial sector"
Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation
Operational Risk Management,"Develop and implement operational risk management strategies and structure to identify, measure, analyse, control, monitor and report on operational risks"
Partnership Management,Build cooperative partnerships with inter-organisational and external stakeholders and leverage these relations to meet organisational objectives. This includes coordination and strategising with internal and external stakeholders through close cooperation and exchange of information to solve problems.
Performance Management,Measure and manage business performance
Personal Finance Advisory,"Advise customers on suitable in-house financial solutions, based on analyses of their personal financial needs"
Philanthropy Advisory,"Coordinate, plan and advise on philanthropic framework and objectives as part of overall wealth planning goals"
Policy Implementation and Revision,Identify priority areas for policy development and evaluate existing policies to determine currency and relevance before implementing policies
Portfolio and Investment Risk Management,"Manage relevant risks arising from investment and portfolio management activities to ensure compliance to regulations, investment guidelines and enabling investment objectives to be achieved"
Post Trade Monitoring and Risk and Capital Management,"Monitor daily profit and loss and positions in the trading books, and formulate hedging strategies to manage associated financial risks"
Post-deal Integration Management,"Ensure all aspects of post-merger integration activities are well-coordinated, to achieve the desired synergies and declared business goals"
Price Stabilisation,"Facilitate price stabilisation via successful placement of shares in accordance with regulatory guidance to minimise short term price fluctuations, which includes disclosing and disseminating all material information which could affect the issue price"
Price Verification and Profit Analysis,Perform independent price verification by using mark-to-market methodology to verify front office positions and adjust profit and loss reports to reserve for valuation adjustments.
Pricing Strategy,"Analyse product, organisational and market factors, trends, pricing scenarios and valuation models to develop effective pricing strategies for products and solutions"
Product Advisory,"Develop, maintain and convey detailed and specialised product knowledge as well as keep abreast of emerging product knowledge to address organisation requirements"
Product Design and Development,"Manage new product design and development from Research and Development (R&D), including initial product design concepts, small batch piloting, market testing and evaluation"
Product Management,"Create and manage a product roadmap, involving the ideating, planning, forecasting, marketing and management of a product or a suite of products throughout stages of its lifecycle, from its conceptualisation to market entrance and eventual phasing-out. This includes the creation of a new product idea or concept and definition of the product strategy based on a projection of its potential benefits to the customer as well as the review of product performance against milestones and targets set"
Product Marketing and Branding,"Develop and implement product marketing strategies by leading sales data collection, segmentation, market research, product marketing idea development and optimisation. Implement product marketing strategies and recommend changes based on desired product and/or corporate positioning and branding"
Product Performance Management,Manage product performance through analysis and recommendations
Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action
Professional Standards,Advocate standards development to promote public confidence and build trust in society
Professional and Business Ethics,Foster strong ethical standards and resolve ethical conflicts in accordance with the relevant principles and processes
Programming and Coding,Produce the technology required for a visual effects (VFX) project
Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes"
Project Feasibility Assessment,Study project feasibility to meet project outcomes and objectives
Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems"
Proposal Management,"Research, strategise and draft business proposals to respond to business opportunities"
Qualitative Analysis,"Formulate research questions and hypotheses, identify qualitative data sources for analysis of securities and provide investment recommendations based on analysis"
Quality Assurance,"Develop, implement and monitor practice of clear quality expectations and standards aligned to the organisation's values and business objectives"
Regulatory Compliance,"Comply with policies, procedures, and external regulations"
Regulatory Risk Assessment,Analyse the impact of latest global regulatory developments and relevant laws on overall audit and/or engagement strategies
Regulatory Strategy,Align regulatory activities with business strategies
Regulatory and Legal Advisory,Provide advice to business and management stakeholders on regulatory compliance and legal matters related to support business decision making
Research and Information Synthesis,"Identify, source and interpret information from various sources to obtain deep understanding of specific area to identify patterns, uncover insights, integrate findings into recommendations and/or guide decision-making"
Responsible AI and Generative AI Practices in Financial Services,Integrate and ensure compliance of ethical principles in AI projects. Drive framework creation for responsible AI development
Restructuring Insolvency Advisory,Advise on restructuring and insolvency processes to ensure statutory deadlines are met and review the treatment of debtors to align with insolvency proceedings
Risk Advisory,Provide customised risk management advice to organisations to manage and optimise risks
Risk Analytics,"Utilise quantitative methods, stress testing approaches and risk modelling to support robust integrated risk management frameworks and methodologies"
Risk Appetite and Goals Setting,Determine and manage the organisation's risk appetite in alignment with strategic objectives
Risk Assessment,"Perform assessment of risks, including fraud risks, through understanding the client's business"
Risk Management,Apply organisational policies and procedures to manage and control financial and non-financial risks
Risk and Compliance Reporting,Develop regulatory documents required to meet regulatory reporting requirements and obligations
Sales Strategy,Define sales strategies and market penetration plans for the retail target segment
Sales Target Management,Evaluate and monitor sales target and performance to plan and initiate actions to achieve excellence in sales delivery
Scenario Planning and Analysis,Define problem statements and analyse data to simulate impact to business operations and propose suitable follow-up actions to sustain operations and achieve business objectives
Security Governance,"Develop and disseminate corporate security policies, frameworks and guidelines to ensure that day-to-day business operations guard or are well protected against risks, threats and vulnerabilities"
Service Challenges,Develop a framework to manage and mitigate service challenges and feedback from customers
Software Configuration,"Configure software products, analytics and modelling solutions, and apply and/or modify scripts and automation tools to integrate and deploy releases to various platforms and operating environments"
Staff Continuous Learning,"Develop knowledge, skills and abilities of self or employees to support the capability development needs of the organisation"
Staff Performance Management,Implement effective performance management procedures to drive individual objectives and achievement of team goals
Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures"
Standard Operating Procedures Development,Implement and develop Standard Operating Procedures (SOPs) and enforce compliance with SOPs
Strategy Planning,Develop organisational strategies and policies by analysing the impact of internal and external influencing factors and seeking consultation from relevant stakeholders.
Sustainability Assurance,"Evaluate and verify the accuracy, relevance, and completeness of an organisation’s sustainability reporting and information disclosure, ensuring alignment with established regulatory standards, environmental goals, social responsibilities, and economic outcomes. Enhance the transparency, credibility, and trust in an organisation’s sustainability reporting, ensuring that informed decisions can be made."
Sustainability Reporting,Lead development of organisation's sustainability reporting and accounting policies and processes in line with regulatory requirements and international best practices
Sustainability Risk Management,"Develop frameworks, strategies and policies for managing sustainability risks for the organisation to minimise and mitigate risks and impact to the organisation"
Sustainability Stewardship Development,"Lead the development of the organisation's stewardship strategy, focus areas, policies and practices, and implement stewardship to achieve organisation's investment and sustainability goals"
Sustainable Insurance and Re-Insurance Solutions and Applications,Develop and underwrite new and/or existing sustainable insurance and/or re-insurance solutions which are aligned with international best practices and support customers in improving their sustainability performance over time
Sustainable Investment Management,Lead organisation's strategies on sustainable investment and implement sustainable investment concepts and approaches on portfolio management
Sustainable Lending Instruments Structuring,"Structure key sustainable lending instruments, which includes bonds, loans, project and trade financing, derivatives, blended finance and develop incentive mechanism to encourage adoption of these instruments"
Systems Thinking Application,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues"
Tax Advisory,Apply relevant and holistic tax advisories for better strategic management
Tax Compliance,Evaluate tax computations and systems to ensure compliance with statutory tax obligations
Tax Computation,"Compute Goods and Services Tax, and tax liabilities"
Tax Controversy Management,"Respond to tax queries from the authorities with completeness, relevance and accuracy"
Tax Implications,Assess tax implication of changes in tax laws
Tax Risk Management,Review tax risk frameworks to ensure risks are minimised and managed properly
Taxation Laws,Analyse impact of evolving tax legislation on business environment
Taxonomy Application,"Analyse and shape organisation's strategy, policies, practices and relevant business activities in response to key domestic, regional and global taxonomies that classify green and transition economic activities."
Technical Analysis,Apply and establish trading opportunities by using quantitative analysis generated from price and volume changes to determine decisions
Technology Application,Integrate technologies into operations of the organisation to optimise efficiency and effectiveness of processes
Technology Scanning,Evaluate the digital technology environment and the impact of digital technology development
Trade Finance Management,Perform trade finance products processing and manage trade financing procedures by identifying appropriate solutions that minimise trade risks
"Trade Processing, Fund Settlement and Treasury Transaction Processing","Demonstrate the ability to validate appropriate fund terms and transfers, monitor and review the smooth delivery of securities to buyers, perform settlement, rate verification, reconciliation and post-trade confirmation activities including reporting transactions that have not been cleared or are unusual"
Trading Management,Perform trades and take positions in various products in accordance with trading plans
Transaction Documentation for Prospectus Development,Prepare prospectus documents by gathering relevant information for development
Transaction Due Diligence,"Perform reviews to verify details on investors, investments, products and deals prior to finalising transactions"
Transactional Accounting,Apply transactional accounting to record financial events
Transfer Pricing,Determine the price for goods and services at which different divisions of a company transact with each other
Treasury Management,Balance and optimise the organisation's cash needs and cash balances and determine the optimal financing of working capital
Trust Structuring,Derive the most suitable trust structures which maximise distribution of dividends and/or required benefits to beneficiaries
Underwriting Process,"Structure policy terms in accordance with an organisation's rating, price and risk tolerance to develop risk evaluation considerations for applications"
Underwriting Profitability and Efficiency Management,Manage profitability and effectiveness of insurance underwriting function according to organisation's strategies
User Experience Design,"Conceptualise and enhance the users' interactions and engagement with products and services by integrating elements of interaction design, information architecture, information design, visual interface design, user assistance design and user-centered design"
Valuation,Perform valuation for business and financial assets for deal structuring
Valuation Approaches and Methodologies,Apply valuation approaches and methodologies to arrive at valuation conclusions
Valuation Conclusion and Reporting,Develop valuation reports for the valuation engagement
Valuation Research and Analysis,Research and analyse information to arrive at a valuation conclusion
Valuation of Different Classes of Interest,Perform valuation of different classes of interests
Wealth Planning Administration,"Manage, review and administer proposed wealth planning tools and/or structures, in accordance with the organisation's policies and procedures and wealth planning laws and regulations"
